หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว๊บไซต์
GC,บริษัท โกลบอล คอนเน็คชั่นส์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,13/1 หมู่ 2 ถนนกิ่งแก้ว ตำบลราชาเทวะ อำเภอบางพลี สมุทรปราการ,10540,"0-2763-7921, 0-2763-7999, 0-2763-7923-42","0-2763-7950, 0-2312-4880-1",www.gc.co.th
GCAP,บริษัท จี แคปปิตอล จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,เลขที่ 161/1 อาคารเอส จี ทาวเวอร์ ชั้น 8 ซอยมหาดเล็กหลวง 3 ถนนราชดำริ แขวงลุมพินี เขตปทุมวัน กทม.,10330,0-2651-9995,0-2651-9553,www.gcapital.co.th
GEL,บริษัท เจนเนอรัล เอนจิเนียริ่ง จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,44/2 หมู่ 2 ถนนติวานนท์ ตำบลบางกระดี อำเภอเมือง ปทุมธานี,12000,"0-2501-1055, 0-2501-2462-7, 0-2501-2020","0-2501-2134, 0-2501-2468",www.gel.co.th
GENCO,บริษัทบริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด(มหาชน),SET,บริการ,บริการเฉพาะกิจ,447 ถนนบอนด์สตรีท ตำบลบางพูด อำเภอปากเกร็ด นนทบุรี,11120,0-2502-0900,0-2502-0999,http://www.genco.co.th
GFPT,บริษัท จีเอฟพีที จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,312 ถนนพระราม 2 แขวงบางมด เขตจอมทอง กทม.,10150,0-2473-8000,"0-2473-8392, 0-2473-8384",www.gfpt.co.th
GGC,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,เลขที่ 555/1 ศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารเอ ชั้น 4 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กทม.,10900,0-2558-7300,0-2558-7301,http://www.ggcplc.com
GIFT,บริษัท แกรททิทูด อินฟินิท จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,9/8 หมู่ที่ 5 แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กทม.,10170,0-2888-6800,0-2888-7200,www.gratitudeinfinite.co.th
GJS,บริษัท จี เจ สตีล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,เลขที่ 88 ปาโซ่ ทาวเวอร์ ชั้น 24 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กทม.,10500,0-2267-8222,0-2267-9048,www.gjsteel.co.th
GL,บริษัท กรุ๊ปลีส จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,63 ซอย1 ถนนเทศบาลนิมิตรใต้ แขวงลาดยาว เขตจตุจักร กทม.,10900,0-2580-7555,0-2954-2902-3,https://grouplease.international
GLAND,บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 161 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กทม.,10310,0-2246-2323,0-2247-1082,http://www.grandcanalland.com
